id,zipcode,name,city_id
colony_aguascalientes_valle_de_las_trojes,20115,Valle de las Trojes,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villas_de_san_nicolás,20115,Villas de San Nicolás,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_san_telmo,20115,San Telmo,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_la_paloma,20115,La Paloma,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_barrio_de_santiago,20115,Barrio de Santiago,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villa_de_las_trojes,20115,Villa de las Trojes,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_valle_de_santa_teresa,20115,Valle de Santa Teresa,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_la_troje,20116,La Troje,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_trojes_de_alonso,20116,Trojes de Alonso,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_san_telmo_residencial,20116,San Telmo Residencial,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_santa_fe,20116,Santa Fe,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_las_trojes,20118,Las Trojes,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_misión_del_campanario,20118,Misión del Campanario,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_trojes_de_cristal,20118,Trojes de Cristal,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_trojes_del_sol,20118,Trojes del Sol,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_residencial_santa_clara,20118,Residencial Santa Clara,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_misión_de_santiago,20118,Misión de Santiago,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_andora_residencial,20118,Andora Residencial,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_cadaqués_residencial,20118,Cadaqués Residencial,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_valle_del_campanario,20118,Valle del Campanario,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_los_calicantos,20118,Los Calicantos,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_las_misiones,20118,Las Misiones,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_los_jarales,20118,Los Jarales,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_cerrada_el_molino,20118,Cerrada El Molino,solt_l10n_mx_partner_address.res_city_mx_agu_001
